Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
A África no Mundo — Relações Internacionais,51271,HIS2001,TP1 - ZOOM,S2,Álvaro Nóbrega/Andrea Valente,,,,,12:30-14:00,
A África no Mundo — Relações Internacionais,51271,HIS2001,TP1A,S2,Álvaro Nóbrega/Andrea Valente,,11:00-12:30,,,,
A África no Mundo — Relações Internacionais,51271,HIS2001,TP1B,S2,Álvaro Nóbrega/Andrea Valente,,12:30-14:00,,,,
A Ásia nas Políticas Externas Lusófonas Contemporâneas,78435,HIS2003,TP1 - ZOOM,S1,Moisés Silva Fernandes,15:30-17:00,,,,,
A Ásia nas Políticas Externas Lusófonas Contemporâneas,78435,HIS2003,TP1A,S1,Moisés Silva Fernandes,,,11:00-12:30,,,
A Ásia nas Políticas Externas Lusófonas Contemporâneas,78435,HIS2003,TP1B,S1,Moisés Silva Fernandes,,,12:30-14:00,,,
A China Antiga e Imperial,78655,HIS2005,TP1 - ZOOM,S2,Elisabetta Colla Rosado Coelho David,,,,,11:00-12:30,
A China Antiga e Imperial,78655,HIS2005,TP1A,S2,Elisabetta Colla Rosado Coelho David,11:00-12:30,,,,,
A China Antiga e Imperial,78655,HIS2005,TP1B,S2,Elisabetta Colla Rosado Coelho David,12:30-14:00,,,,,
A China Imperial (Ming e Qing),78666,HIS2006,TP1 - ZOOM,S1,Elisabetta Colla Rosado Coelho David,,,14:00-15:30,,,
A China Imperial (Ming e Qing),78666,HIS2006,TP1A,S1,Elisabetta Colla Rosado Coelho David,14:00-15:30,,,,,
A China Imperial (Ming e Qing),78666,HIS2006,TP1B,S1,Elisabetta Colla Rosado Coelho David,15:30-17:00,,,,,
A China Republicana e Comunista,78824,HIS2007,TP1 - ZOOM,S2,António Eduardo Hawthorne Barrento,,12:30-14:00,,,,
A China Republicana e Comunista,78824,HIS2007,TP1A,S2,António Eduardo Hawthorne Barrento,,,,09:30-11:00,,
A China Republicana e Comunista,78824,HIS2007,TP1B,S2,António Eduardo Hawthorne Barrento,,,,11:00-12:30,,
A Coreia: passado e presente,78835,HIS2008,TP1 - ZOOM,S1,Pedro Lage Reis Correia,17:00-18:30,,,,,
A Coreia: passado e presente,78835,HIS2008,TP1A,S1,Pedro Lage Reis Correia,11:00-12:30,,,,,
A Coreia: passado e presente,78835,HIS2008,TP1B,S1,Pedro Lage Reis Correia,12:30-14:00,,,,,
A Corte dos Reis de Portugal (sécs. XV-XVIII): Quotidiano e Práticas Rituais,78836,HIS2112,TP1,S1,Maria Paula Marçal Lourenço,,,,18:30-20:00,,
A Corte dos Reis de Portugal (sécs. XV-XVIII): Quotidiano e Práticas Rituais,78836,HIS2112,TP1 - ZOOM,S1,Maria Paula Marçal Lourenço,,18:30-20:00,,,,
A Ética Aristotélica,FIL2040,FIL2040,TP1 - ZOOM,S1,António Pedro Sangreman Proença de Marcelino Mesquita,09:30-11:00,,,,,
A Ética Aristotélica,FIL2040,FIL2040,TP1A,S1,António Pedro Sangreman Proença de Marcelino Mesquita/Simon Enrique Noriega-Olmos,,,,08:00-09:30,,
A Ética Aristotélica,FIL2040,FIL2040,TP1B,S1,António Pedro Sangreman Proença de Marcelino Mesquita/Simon Enrique Noriega-Olmos,,,,09:30-11:00,,
A Europa nos Sistemas Mundiais,76415,XIG2001,P1,S1,Jennifer McGarrigle,13:00-15:00,,,,,
A Europa nos Sistemas Mundiais,76415,XIG2001,P2,S1,Pedro Soares,15:00-17:00,,,,,
A Europa nos Sistemas Mundiais,76415,XIG2001,T1 - ZOOM,S1,Jennifer McGarrigle,,,,16:00-17:00,18:00-19:00,
A Índia Moderna e Contemporânea,57121,HIS2011,TP1 - ZOOM,S2,Shiv Kumar Singh,,,12:30-14:00,,,
A Índia Moderna e Contemporânea,57121,HIS2011,TP1A,S2,Shiv Kumar Singh,14:00-15:30,,,,,
A Índia Moderna e Contemporânea,57121,HIS2011,TP1B,S2,Shiv Kumar Singh,,14:00-15:30,,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Abordagens Experimentais à Linguagem Infantil,86303,LIN2001,TP1 - Presencial,S2,Sónia Marise de Campos Frota,,,11:00-14:00,,,
Alemão A1.1,61902,LLE1011,TP1,S1,Askan Ghobeyshi,15:30-17:00,,15:30-17:00,,,
Alemão A1.1,61902,LLE1011,TP1 - ZOOM,S1,Askan Ghobeyshi,,,,15:30-17:00,,
Alemão A1.1,61902,LLE1011,TP2,S1,Maja Ensslin,09:30-11:00,,09:30-11:00,,,
Alemão A1.1,61902,LLE1011,TP2 - ZOOM,S1,Maja Ensslin,,,,09:30-11:00,,
Alemão A1.1,61902,LLE1011,TP3,S1,Martina Dorothee Merklin,,,14:00-15:30,14:00-15:30,,
Alemão A1.1,61902,LLE1011,TP3 - ZOOM,S1,Martina Dorothee Merklin,14:00-15:30,,,,,
Alemão A1.1,61902,LLE1011,TP4,S1,Andrea Riedel,,,12:30-14:00,12:30-14:00,,
Alemão A1.1,61902,LLE1011,TP4 - ZOOM,S1,Andrea Riedel,,12:30-14:00,,,,
Alemão A1.1,61902,LLE1011,TP5,S1,Nora Heitmann,,,,11:00-12:30,11:00-12:30,
Alemão A1.1,61902,LLE1011,TP5 - ZOOM,S1,Nora Heitmann,,11:00-12:30,,,,
Alemão A1.1,61902,LLE1011,TP6,S1,Maja Ensslin,08:00-09:30,,08:00-09:30,,,
Alemão A1.1,61902,LLE1011,TP6 - ZOOM,S1,Maja Ensslin,,,,08:00-09:30,,
Alemão A1.2,61913,LLE1012,TP1,S2,Askan Ghobeyshi,14:00-15:30,,14:00-15:30,,,
Alemão A1.2,61913,LLE1012,TP1 - ZOOM,S2,Askan Ghobeyshi,,,,,14:00-15:30,
Alemão A1.2,61913,LLE1012,TP2,S2,Askan Ghobeyshi,09:30-11:00,,09:30-11:00,,,
Alemão A1.2,61913,LLE1012,TP2 - ZOOM,S2,Askan Ghobeyshi,,,,,09:30-11:00,
Alemão A1.2,61913,LLE1012,TP3,S2,Martina Dorothee Merklin,,,,17:00-18:30,17:00-18:30,
Alemão A1.2,61913,LLE1012,TP3 - ZOOM,S2,Martina Dorothee Merklin,,17:00-18:30,,,,
Alemão A1.2,61913,LLE1012,TP4,S2,Nora Heitmann,,11:00-12:30,11:00-12:30,,,
Alemão A1.2,61913,LLE1012,TP4 - ZOOM,S2,Nora Heitmann,,,,,11:00-12:30,
Alemão A1.2,61913,LLE1012,TP5,S2,Nora Heitmann,,12:30-14:00,12:30-14:00,,,
Alemão A1.2,61913,LLE1012,TP5 - ZOOM,S2,Nora Heitmann,,,,,12:30-14:00,
Alemão A1.2,61913,LLE1012,TP6,S2,Maja Ensslin,08:00-09:30,,08:00-09:30,,,
Alemão A1.2,61913,LLE1012,TP6 - ZOOM,S2,Maja Ensslin,,,,,08:00-09:30,
Alemão A2.1,61924,LLE1013,TP1,S1,Vera Maria San Payo de Lemos,17:00-18:30,,17:00-18:30,,,
Alemão A2.1,61924,LLE1013,TP1 - ZOOM,S1,Vera Maria San Payo de Lemos,,,,17:00-18:30,,
Alemão A2.1,61924,LLE1013,TP2,S1,Jasmin Mbambo (Elagy),,,12:30-14:00,12:30-14:00,,
Alemão A2.1,61924,LLE1013,TP2 - ZOOM,S1,Jasmin Mbambo (Elagy),12:30-14:00,,,,,
